2026-06-22 07:36:58 | INFO     | CTDReview |   EXCEL: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_问题汇总_20260622_073658.xlsx
2026-06-22 07:36:58 | INFO     | CTDReview |   JSON: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查数据_20260622_073658.json
2026-06-22 07:36:58 | INFO     | CTDReview |   TEXT: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查摘要_20260622_073658.txt
2026-06-22 07:37:02 | INFO     | CTDReview | 测试INFO日志
2026-06-22 07:37:02 | WARNING  | CTDReview | 测试WARNING日志
2026-06-22 07:37:02 | DEBUG    | CTDReview | 测试DEBUG日志
2026-06-22 07:37:02 | INFO     | CTDReview | 开始扫描目录: /tmp/ctd_test_data
2026-06-22 07:37:02 | INFO     | CTDReview | 扫描完成，共发现 6 个文件
2026-06-22 07:37:02 | INFO     | CTDReview | 开始CTD目录结构合规校验
2026-06-22 07:37:02 | INFO     | CTDReview | 结构校验完成，发现 8 个问题
2026-06-22 07:37:02 | INFO     | CTDReview | 开始分类 2 个问题
2026-06-22 07:37:02 | INFO     | CTDReview | 已更新 2 类问题到历史问题库
2026-06-22 07:37:02 | INFO     | CTDReview | 问题分类完成
2026-06-22 07:37:02 | INFO     | CTDReview | 开始分类 2 个问题
2026-06-22 07:37:02 | INFO     | CTDReview | 已更新 2 类问题到历史问题库
2026-06-22 07:37:02 | INFO     | CTDReview | 问题分类完成
2026-06-22 07:37:02 | INFO     | CTDReview | 开始生成审查报告
2026-06-22 07:37:02 | INFO     | CTDReview | PDF报告已生成: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查报告_20260622_073702.pdf
2026-06-22 07:37:02 | INFO     | CTDReview | Excel报告已生成: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_问题汇总_20260622_073702.xlsx
2026-06-22 07:37:02 | INFO     | CTDReview | JSON数据已导出: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查数据_20260622_073702.json
2026-06-22 07:37:02 | INFO     | CTDReview | 文本摘要已生成: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查摘要_20260622_073702.txt
2026-06-22 07:37:02 | INFO     | CTDReview | 报告生成完成，耗时 0.12 秒
2026-06-22 07:37:02 | INFO     | CTDReview |   PDF: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查报告_20260622_073702.pdf
2026-06-22 07:37:02 | INFO     | CTDReview |   EXCEL: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_问题汇总_20260622_073702.xlsx
2026-06-22 07:37:02 | INFO     | CTDReview |   JSON: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查数据_20260622_073702.json
2026-06-22 07:37:02 | INFO     | CTDReview |   TEXT: /Users/paul/WorkSpace/TestSoloCoder/31b910dd-43e5-47e1-9c9d-2b3c111e592a/reports/测试项目_ReportTest_审查摘要_20260622_073702.txt
